x,y
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
5.97104,-2.2773
